X,Y,CLAY,SAND,SILT,ORGANIC_MATTER,RESULT
0.0,1.0,14.899999618530273,31.459999084472656,53.63999938964844,2.327346561756971,54952.55857891427
0.0,2.0,1.4666666984558105,3.4666666984558105,8.399999618530273,0.32508475381998814,6.429600238813425
0.0,3.0,14.60465145111084,31.046510696411133,54.348838806152344,1.9218865412019221,51405.59672041399
0.0,4.0,6.909999847412109,36.060001373291016,18.030000686645508,4.820472876113572,14324.151837882453
0.0,5.0,9.130000114440918,59.93000030517578,19.940000534057617,2.7975692295169923,70820.24411705397
0.0,6.0,9.229999542236328,20.479999542236328,31.290000915527344,0.9156833426572231,8740.470738710552
0.0,7.0,15.279999732971191,32.459999084472656,52.2599983215332,0.8771533699528522,61747.95502382763
0.0,8.0,10.32584285736084,54.64044952392578,23.797752380371094,7.566569633692571,76584.08484012958
0.0,9.0,26.298702239990234,34.1298713684082,39.57143020629883,3.0514116523470776,206614.93280672413
0.0,10.0,35.150001525878906,24.024999618530273,40.82500076293945,0.9474162678706612,187533.40184551012
